EmployeeID,EmployeeName,Age,Gender,MaritalStatus,Education,EducationField,DepartmentID,JobRole,JobLevel,BusinessTravel,MonthlyIncome,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,DistanceFromHome,Attrition,PerformanceRating,PerformanceLabel
1,Amit Williams,51,Female,Married,2,Life Sciences,1,Healthcare Representative,1,Travel_Rarely,131160,11,0.0,1.0,4.5,1,0,0.0,0.0,1.0,6,No,3,Medium
2,Sneha Pillai,31,Female,Single,1,Life Sciences,2,Research Scientist,1,Travel_Frequently,41890,23,1.0,6.0,3.0,5,3,1.0,4.0,0.0,10,Yes,4,High
3,Nikhil Jones,32,Male,Married,4,Other,2,Sales Executive,4,Travel_Frequently,165835,15,2.5,5.0,2.0,5,3,0.0,3.0,1.0,17,No,3,Low
4,Amit Smith,38,Male,Married,5,Life Sciences,2,Human Resources,3,Non-Travel,83210,11,2.5,13.0,4.5,8,4,7.0,5.0,3.0,2,No,3,Medium
5,Deepika Kumar,32,Male,Single,1,Medical,2,Sales Executive,1,Travel_Rarely,23420,12,2.0,9.0,2.0,6,3,0.0,4.0,4.0,10,No,3,Medium
6,Raj Wilson,46,Female,Married,3,Life Sciences,2,Research Director,4,Travel_Rarely,40710,13,0.0,28.0,4.5,7,4,7.0,7.0,3.0,8,No,3,Medium
7,Varun Williams,28,Male,Single,2,Medical,2,Sales Executive,2,Travel_Rarely,58130,20,1.0,5.0,2.0,0,0,0.0,0.0,2.0,11,Yes,4,High
8,Tanvi Williams,29,Male,Married,3,Life Sciences,2,Sales Executive,2,Travel_Rarely,31430,22,2.5,10.0,2.0,0,0,0.0,0.0,2.0,18,No,4,High
9,Raj Singh,31,Male,Married,3,Life Sciences,2,Laboratory Technician,3,Travel_Rarely,20440,21,0.0,10.0,2.0,9,5,7.0,8.0,0.0,1,No,4,High
10,Emily Rao,25,Female,Divorced,4,Medical,2,Laboratory Technician,4,Non-Travel,134640,13,1.0,6.0,2.0,6,3,1.0,5.0,1.0,7,No,3,Low
